,Position,First_Name,Surname,Team,Goals,Assists,Total_Points,Minutes,Goals_Conceded,Creativity,Influence,Threat,Bonus_Points,BPS,ICT_Index,Clean_Sheets,Red_Cards,Yellow_Cards,Selected_By_Percent,Now_cost,No_of_90s,Points_per_M_per_90
15,MID,Nicolas,Pépé,Arsenal,1,4,45,681,9,204.8,127.4,391,1,127,72,2,0,0,0.7,6.9,7.566666667,0.86190385
10,MID,Mohamed Naser,El Sayed Elneny,Arsenal,0,2,27,801,17,124.5,147.8,40,0,156,31.3,0,0,1,0.4,4.4,8.9,0.68947906
17,FWD,Edward,Nketiah,Arsenal,5,1,55,823,18,138.8,216,339,6,194,69.2,0,0,3,11.5,5.7,9.144444444,1.055189614
12,DEF,Rob,Holding,Arsenal,1,0,29,840,16,6.9,242.4,49,2,152,29.9,2,1,2,0.8,4.1,9.333333333,0.757839721
3,FWD,Pierre-Emerick,Aubameyang,Arsenal,4,1,44,1036,16,132.4,217.6,582,7,131,92.9,6,0,3,1.2,9.6,11.51111111,0.398166023
27,MID,Albert,Sambi Lokonga,Arsenal,0,0,32,1129,11,250.7,181.8,87,0,173,51.9,7,0,5,0.1,4.8,12.54444444,0.531443756
26,DEF,Nuno,Varela Tavares,Arsenal,1,1,49,1169,19,168.4,194.6,203,2,199,56.7,3,0,2,1,4.3,12.98888889,0.877315137
4,DEF,Cédric,Soares,Arsenal,1,1,48,1481,27,306.5,246,76,3,292,63,3,0,3,0.4,4.2,16.45555556,0.694511431
34,DEF,Takehiro,Tomiyasu,Arsenal,0,1,75,1680,20,240.9,312.4,110,5,344,66.4,9,0,2,1.9,4.5,18.66666667,0.892857143
5,FWD,Alexandre,Lacazette,Arsenal,4,8,90,1773,17,385.7,376.6,724,3,295,148.3,10,0,0,3.1,8.1,19.7,0.564015792
23,MID,Gabriel Teodoro,Martinelli Silva,Arsenal,6,7,110,1855,25,445.8,407.8,692,6,345,154.7,7,1,1,3.1,5.3,20.61111111,1.006967401
18,MID,Emile,Smith Rowe,Arsenal,10,2,125,1909,28,453.3,555.8,576,9,435,158.4,8,0,1,10,5.7,21.21111111,1.033883819
14,DEF,Kieran,Tierney,Arsenal,1,3,106,1916,21,335.9,365.2,198,11,454,90.1,11,0,0,4.7,4.9,21.28888889,1.016147586
13,MID,Thomas,Partey,Arsenal,2,2,71,2027,25,275.5,359.6,394,4,345,103,10,0,6,0.2,5,22.52222222,0.630488407
6,MID,Granit,Xhaka,Arsenal,1,2,60,2327,38,489.6,382.2,253,3,334,112.6,6,1,10,0.4,4.8,25.85555556,0.483455092
31,MID,Martin,Ødegaard,Arsenal,7,4,131,2782,39,1012.4,625.6,572,9,541,220.3,11,0,4,6,5.6,30.91111111,0.756778268
25,DEF,Ben,White,Arsenal,0,0,107,2880,35,182.3,592.8,150,9,557,92.5,13,0,3,12.4,4.6,32,0.726902174
19,MID,Bukayo,Saka,Arsenal,11,9,179,2978,39,942.5,774.2,1404,18,566,311.8,13,0,6,28.8,6.7,33.08888889,0.80741357
32,GK,Aaron,Ramsdale,Arsenal,0,0,135,3060,39,1,680,0,14,641,68,12,0,1,17.1,5.1,34,0.778546713
20,DEF,Gabriel,Magalhães,Arsenal,5,0,146,3063,38,129.3,703,453,16,682,128.4,13,1,6,7.4,5.3,34.03333333,0.80941733
71,MID,Leon,Bailey,Aston Villa,1,3,37,750,13,118.5,143.2,271,1,98,53.2,2,0,3,0.4,6.3,8.333333333,0.704761905
58,MID,Marvelous,Nakamba,Aston Villa,0,0,22,899,20,42.1,134,0,0,124,17.8,2,0,5,0.1,4.4,9.988888889,0.500556174
46,DEF,Calum,Chambers,Aston Villa,1,0,42,999,16,52.8,211,61,2,198,32.5,4,0,1,0.4,4.2,11.1,0.900900901
68,DEF,Ashley,Young,Aston Villa,0,2,50,1234,19,201.9,187.4,113,0,224,50.2,4,0,2,0.5,4.7,13.71111111,0.775888824
81,MID,Philippe,Coutinho Correia,Aston Villa,5,3,83,1327,17,338.3,324.2,419,7,283,108.3,7,0,0,10.6,7.1,14.74444444,0.792850547
59,MID,Emiliano,Buendía Stati,Aston Villa,4,6,107,1887,32,659.3,479.4,531,8,378,167.3,7,0,1,1.3,6.1,20.96666667,0.836612891
70,FWD,Danny,Ings,Aston Villa,7,6,106,1891,26,210.9,448.6,749,12,344,140.3,10,0,4,9.3,7.7,21.01111111,0.655188281
69,DEF,Lucas,Digne,Aston Villa,0,4,83,2440,42,753.1,489.8,200,8,459,144.5,7,0,6,5.9,5,27.11111111,0.612295082
67,MID,Jacob,Ramsey,Aston Villa,6,1,109,2465,35,333.1,533.8,432,9,402,130.2,12,0,6,4.9,4.7,27.38888889,0.84674809
61,DEF,Ezri,Konsa Ngoyo,Aston Villa,2,0,78,2477,43,56.5,428.2,251,4,388,73.4,8,2,4,0.9,4.9,27.52222222,0.578382342
66,MID,Douglas Luiz,Soares de Paulo,Aston Villa,2,3,89,2715,38,547.5,495.2,199,3,468,124.3,10,0,7,1.9,4.3,30.16666667,0.686110754
57,FWD,Ollie,Watkins,Aston Villa,11,3,131,2950,48,459.1,598.4,1319,17,441,237.7,10,0,7,9.1,7.5,32.77777778,0.532881356
53,MID,John,McGinn,Aston Villa,3,4,110,3090,48,777.4,692.8,307,12,495,177.8,10,0,8,1.1,5.6,34.33333333,0.572122053
56,DEF,Tyrone,Mings,Aston Villa,1,4,118,3188,49,130.9,649.2,309,12,596,108.8,11,0,11,6.9,5,35.42222222,0.666248432
49,GK,Emiliano,Martínez,Aston Villa,0,0,129,3240,48,0,755.8,0,7,651,75.4,11,0,4,11.4,5.5,36,0.651515152
60,DEF,Matthew,Cash,Aston Villa,4,3,147,3377,50,432.1,709,517,11,623,165.8,13,0,8,11.5,5.3,37.52222222,0.739184606
100,DEF,Mads,Bech Sørensen,Brentford,0,0,22,833,14,69.4,112.8,44,1,139,22.6,2,0,3,0.1,4.3,9.255555556,0.552779251
111,MID,Shandon,Baptiste,Brentford,1,0,35,898,15,120.2,132.8,145,2,120,39.6,2,1,0,0,4.9,9.977777778,0.715876551
122,MID,Christian,Eriksen,Brentford,1,4,43,938,10,428.6,269.4,172,2,221,86.8,4,0,1,1.8,5.6,10.42222222,0.736749924
108,MID,Frank,Onyeka,Brentford,0,2,35,1040,19,73.5,93,174,0,117,33.7,3,0,4,0.1,4.9,11.55555556,0.618131868
113,GK,Álvaro,Fernández,Brentford,0,0,31,1080,24,0,353.2,0,2,218,35.2,1,0,0,0.4,4.5,12,0.574074074
99,DEF,Mads,Roerslev Rasmussen,Brentford,1,1,41,1232,27,125.8,200.2,81,4,170,40.8,1,0,1,0.2,4.1,13.68888889,0.730519481
112,MID,Yoane,Wissa,Brentford,7,2,92,1268,22,105.6,318.8,379,6,277,79.6,3,0,0,0.3,5.7,14.08888889,1.145608501
96,MID,Mathias,Jensen,Brentford,0,1,54,1590,30,508,242.8,181,2,246,93.3,3,0,0,0,4.9,17.66666667,0.623796688
109,DEF,Kristoffer,Ajer,Brentford,1,3,81,1995,32,123.5,381.2,184,5,384,69,8,0,5,0.7,4.4,22.16666667,0.830485304
91,MID,Sergi,Canós,Brentford,3,3,81,2077,36,282.9,359.2,422,5,268,106.5,8,1,6,1,5.5,23.07777778,0.638158183
90,GK,David,Raya Martin,Brentford,0,0,95,2160,27,10,575.6,0,5,496,58.3,8,0,1,4.6,4.4,24,0.899621212
94,MID,Vitaly,Janelt,Brentford,4,0,90,2295,37,330,440.2,399,8,343,116.7,9,0,3,0.2,4.9,25.5,0.720288115
101,DEF,Ethan,Pinnock,Brentford,1,1,90,2694,43,151.7,648.8,335,7,517,113.5,7,0,1,2.7,4.4,29.93333333,0.683336708
93,DEF,Rico,Henry,Brentford,3,0,108,2775,41,324.4,444.8,233,4,453,100.1,9,0,2,1.2,4.5,30.83333333,0.778378378
106,MID,Bryan,Mbeumo,Brentford,4,7,119,2905,47,508.9,441.2,927,6,310,186.7,9,0,4,1.9,5.2,32.27777778,0.708989805
88,FWD,Ivan,Toney,Brentford,12,5,139,2908,47,572,717.8,1284,19,502,257.4,8,0,8,18.8,6.9,32.31111111,0.623467496
87,MID,Christian,Nørgaard,Brentford,3,4,101,3054,51,409.8,694.8,434,5,502,154.3,8,0,8,0.6,5,33.93333333,0.595284872
86,DEF,Pontus,Jansson,Brentford,3,4,122,3321,56,67.1,766.4,476,13,616,131.4,8,0,7,7,4.5,36.9,0.734718458
152,MID,Moisés,Caicedo,Brighton and Hove Albion,1,1,27,660,6,49.9,136.8,92,1,124,27.9,4,0,2,0.1,4.5,7.333333333,0.818181818
146,MID,Enock,Mwepu,Brighton and Hove Albion,2,5,58,990,13,142.9,241.8,199,5,200,58,3,0,2,0.1,5.9,11,0.893682589
131,DEF,Adam,Webster,Brighton and Hove Albion,2,0,59,1429,20,50.1,387.8,112,6,266,55.1,4,0,5,0.3,4.3,15.87777778,0.864159357
127,DEF,Shane,Duffy,Brighton and Hove Albion,1,1,48,1434,19,58.2,380.6,282,3,288,72.2,4,0,7,7.6,4,15.93333333,0.753138075
145,FWD,Danny,Welbeck,Brighton and Hove Albion,6,4,89,1469,16,195.1,302.4,528,13,247,101.5,5,0,0,1.6,6,16.32222222,0.908781484
140,DEF,Tariq,Lamptey,Brighton and Hove Albion,0,2,74,1547,21,353.4,246,172,7,308,76.8,6,0,4,1.8,4.5,17.18888889,0.956690368
124,MID,Adam,Lallana,Brighton and Hove Albion,0,1,44,1559,20,162.9,209.4,173,0,240,54.6,6,0,4,0.1,5.3,17.32222222,0.479262227
144,MID,Jakub,Moder,Brighton and Hove Albion,0,3,58,1694,23,286,239.6,372,0,227,90.3,5,0,1,0.5,4.5,18.82222222,0.684769776
130,MID,Solomon,March,Brighton and Hove Albion,0,2,61,1733,23,512,259.6,285,0,216,105.6,7,0,1,0.1,5.3,19.25555556,0.597720171
126,MID,Pascal,Groß,Brighton and Hove Albion,2,5,88,2033,24,902.5,412.6,345,7,405,166.2,8,0,1,0.3,5.6,22.58888889,0.695664395
139,MID,Yves,Bissouma,Brighton and Hove Albion,1,2,66,2110,28,167.1,425.6,126,9,351,71.8,7,0,10,4.8,4.4,23.44444444,0.639810427
143,MID,Alexis,Mac Allister,Brighton and Hove Albion,5,2,93,2112,29,455.6,494,540,8,398,148.8,6,0,4,0.5,5.1,23.46666667,0.777072193
133,FWD,Neal,Maupay,Brighton and Hove Albion,8,3,98,2269,31,357.3,367.4,672,11,295,137.4,7,0,7,4.3,6.2,25.21111111,0.626963704
129,DEF,Lewis,Dunk,Brighton and Hove Albion,1,0,92,2573,33,63,551.8,327,7,537,94.2,10,1,3,2.3,4.8,28.58888889,0.67042363
134,MID,Leandro,Trossard,Brighton and Hove Albion,8,4,141,2803,33,708.3,627.6,1020,16,465,235.4,11,0,2,2.8,5.9,31.14444444,0.767337659
132,DEF,Joël,Veltman,Brighton and Hove Albion,1,1,95,2874,39,274.6,532.8,148,5,545,95.8,8,0,6,1.4,4.2,31.93333333,0.708320907
154,DEF,Marc,Cucurella,Brighton and Hove Albion,1,1,126,3089,39,671.9,659.6,181,21,673,151.6,11,0,6,4.1,4.9,34.32222222,0.749202238
138,GK,Robert,Sánchez,Brighton and Hove Albion,0,0,126,3330,42,30,804.6,0,8,679,83.4,11,1,3,14.5,4.5,37,0.756756757
174,FWD,Matej,Vydra,Burnley,2,3,46,665,7,77.5,172.4,239,4,138,48.4,2,0,1,0.5,5.2,7.388888889,1.197223829
164,DEF,Erik,Pieters,Burnley,0,1,37,726,5,43.4,179,48,1,157,27,4,0,1,0.1,4.1,8.066666667,1.118726063
169,FWD,Ashley,Barnes,Burnley,1,0,32,793,19,90.7,77,192,2,60,34.5,1,0,4,1.1,5.2,8.811111111,0.698418857
172,MID,Johann Berg,Gudmundsson,Burnley,0,1,33,1097,19,137.5,134,193,0,100,46.5,3,0,2,0.1,5.4,12.18888889,0.501367366
168,FWD,Jay,Rodriguez,Burnley,2,3,60,1365,15,166,176.4,455,4,159,78.4,6,0,3,1.2,5.1,15.16666667,0.775694893
190,FWD,Wout,Weghorst,Burnley,2,3,55,1448,20,188,203,360,6,134,74.9,6,0,3,4,6.2,16.08888889,0.551372304
187,MID,Aaron,Lennon,Burnley,2,1,60,1541,25,136.2,190.2,218,1,172,54.1,4,0,2,0.1,4.6,17.12222222,0.76178653
182,DEF,Nathan,Collins,Burnley,2,0,55,1670,26,62.4,426.6,246,1,272,73.7,5,1,2,0.5,4.3,18.55555556,0.689319036
165,MID,Jack,Cork,Burnley,1,0,48,1670,26,103.9,168,72,3,143,34.3,6,0,4,0.1,4.4,18.55555556,0.587915079
189,DEF,Connor,Roberts,Burnley,1,1,69,1689,23,195.6,299.4,98,6,313,59.3,6,0,2,0.6,4.4,18.76666667,0.835620862
188,MID,Maxwel,Cornet,Burnley,9,2,104,1764,24,246.9,390.2,547,9,242,118.4,5,0,2,0.8,5.8,19.6,0.914848698
173,DEF,Matthew,Lowton,Burnley,1,3,65,1771,30,264.9,404.2,95,5,337,76.5,4,1,3,1,4.4,19.67777778,0.750731482
170,DEF,Ben,Mee,Burnley,3,0,74,1839,25,63.4,463.8,238,3,325,76.6,6,0,3,0.6,4.6,20.43333333,0.787289879
171,MID,Ashley,Westwood,Burnley,0,4,63,2286,40,517.1,298.2,153,2,303,96.5,4,0,7,0.2,5.2,25.4,0.476983646
176,DEF,Charlie,Taylor,Burnley,0,3,78,2730,48,310.5,552.8,50,8,454,91.3,5,0,3,0.7,4.4,30.33333333,0.584415584
178,MID,Josh,Brownhill,Burnley,2,3,92,2952,45,560.8,565.8,277,8,428,140.6,7,0,10,3.6,4.3,32.8,0.652297221
181,MID,Dwight,McNeil,Burnley,0,1,84,3104,49,729.5,556.8,489,1,440,178,9,0,1,0.2,5.5,34.48888889,0.442830366
162,DEF,James,Tarkowski,Burnley,1,2,83,3106,51,106.8,881.4,307,5,486,129.7,7,0,11,1.3,4.9,34.51111111,0.490820926
175,GK,Nick,Pope,Burnley,0,0,130,3240,47,20,875.6,0,12,683,89.7,9,0,1,3.5,5.3,36,0.681341719
215,MID,Callum,Hudson-Odoi,Chelsea,1,4,49,958,8,326.9,175.4,326,1,163,82.7,6,0,1,0.2,5.3,10.64444444,0.868554772
209,FWD,Timo,Werner,Chelsea,4,2,62,1278,17,153.1,207.6,773,5,175,112.7,5,0,1,2.3,8.5,14.2,0.513670257
212,MID,Christian,Pulisic,Chelsea,6,2,77,1282,10,223.9,317.6,434,2,206,97.5,6,0,2,0.7,7.9,14.24444444,0.684255218
206,MID,Hakim,Ziyech,Chelsea,4,3,79,1311,12,429.5,350.6,482,9,281,126,7,0,3,0.8,7.3,14.56666667,0.742923419
207,MID,Ruben,Loftus-Cheek,Chelsea,0,3,52,1384,21,291.1,282.8,218,1,251,79.2,5,0,1,0.2,5.4,15.37777778,0.626204239
220,DEF,Trevoh,Chalobah,Chelsea,3,1,99,1447,9,105.8,405.8,151,11,396,66.1,9,0,2,2.4,4.7,16.07777778,1.310120719
208,DEF,Andreas,Christensen,Chelsea,0,0,69,1494,11,103.4,296.4,20,3,343,42,9,0,2,1.4,4.6,16.6,0.903614458
201,MID,Mateo,Kovacic,Chelsea,2,5,76,1552,11,407.4,409.6,198,7,348,101.5,8,0,4,1.7,4.9,17.24444444,0.899431938
221,FWD,Romelu,Lukaku,Chelsea,8,1,87,1583,14,303.3,367,704,12,310,137.2,7,0,1,7.7,11.4,17.58888889,0.433886358
205,MID,N'Golo,Kanté,Chelsea,2,5,79,1769,19,380.6,434,221,2,377,103.6,9,0,2,2.4,4.9,19.65555556,0.820248959
216,MID,Kai,Havertz,Chelsea,8,4,112,1802,18,301.6,420.4,855,5,271,156.6,10,0,3,5.8,7.9,20.02222222,0.708074011
217,DEF,Reece,James,Chelsea,5,9,141,1863,22,696.1,582,436,26,573,171.5,7,1,4,19.1,6.5,20.7,1.04793757
195,DEF,César,Azpilicueta,Chelsea,1,3,87,2067,23,305,450.8,212,2,453,96.9,7,0,3,3.3,5.6,22.96666667,0.676446195
198,DEF,Marcos,Alonso,Chelsea,4,5,128,2164,22,677.3,560.2,566,14,528,180.6,9,0,8,15.3,5.7,24.04444444,0.933942991
199,MID,Jorge Luiz,Frello Filho,Chelsea,6,2,106,2271,16,429.3,605.8,214,11,519,125.1,12,0,5,3.9,5.7,25.23333333,0.736981158
213,MID,Mason,Mount,Chelsea,11,11,169,2358,25,914.8,812.8,931,16,597,265.8,11,0,4,21.9,7.7,26.2,0.837711906
197,DEF,Thiago,Emiliano da Silva,Chelsea,3,1,130,2649,28,132,801.4,229,14,667,116.4,11,0,2,7.9,5.6,29.43333333,0.788707329
203,DEF,Antonio,Rüdiger,Chelsea,3,3,150,3035,27,257.4,581.6,484,10,661,132.3,15,0,9,18.8,6.1,33.72222222,0.729197613
218,GK,Edouard,Mendy,Chelsea,0,0,130,3060,31,0,564.8,0,3,573,56.1,14,0,3,11.4,6.1,34,0.6268081
239,GK,Jack,Butland,Crystal Palace,0,0,30,765,13,0,155,0,3,132,15.7,1,0,0,0.4,4.4,8.5,0.802139037
235,MID,Luka,Milivojevic,Crystal Palace,0,0,19,767,16,196.6,88.6,38,0,118,32.3,1,0,1,0,5.2,8.522222222,0.428743356
246,MID,Will,Hughes,Crystal Palace,0,2,34,1050,16,141.1,155.8,60,2,164,35.8,4,0,6,0.1,4.7,11.66666667,0.62006079
247,MID,Michael,Olise,Crystal Palace,2,6,73,1127,14,389,308.2,269,8,287,96.5,4,0,4,0.2,5.3,12.52222222,1.099931359
232,FWD,Christian,Benteke,Crystal Palace,4,1,58,1132,20,176.7,250.2,523,6,173,94.3,4,0,3,1.2,5.9,12.57777778,0.781577529
242,FWD,Jean-Philippe,Mateta,Crystal Palace,5,1,61,1138,14,112.8,253.6,568,6,182,93.4,5,0,2,2.7,5.3,12.64444444,0.910236429
251,DEF,Nathaniel,Clyne,Crystal Palace,0,1,59,1351,12,97.7,170.8,17,4,264,28.7,6,0,1,0.8,4.3,15.01111111,0.914051607
231,MID,James,McArthur,Crystal Palace,0,4,54,1434,15,256.5,324,120,5,288,70,5,0,4,1.1,4.3,15.93333333,0.788167753
257,FWD,Odsonne,Edouard,Crystal Palace,6,4,87,1554,19,252.4,385.2,610,9,280,125,9,0,4,2.9,6,17.26666667,0.83976834
238,MID,Jeffrey,Schlupp,Crystal Palace,4,2,86,1840,19,238.5,403.6,461,2,297,110.4,8,0,1,0.1,5.4,20.44444444,0.778985507
233,DEF,Cheikhou,Kouyaté,Crystal Palace,0,1,77,1970,28,85.5,312.4,41,5,395,44,8,0,3,0.6,4.5,21.88888889,0.781725888
236,FWD,Jordan,Ayew,Crystal Palace,3,4,77,2012,31,361.3,349.2,491,3,281,120.1,9,0,2,1,5.8,22.35555556,0.593850689
248,DEF,Joel,Ward,Crystal Palace,0,0,73,2486,37,132.2,440.4,58,2,422,63.2,9,0,8,0.2,4.5,27.62222222,0.587288817
